Years,Uphc,Mean_Air_Temperature,Annual_sunshine,Maximum_Temperature,Annual_Precipitation,minimum_air_temperature
01/04/2025,449.06,10.3,246.3,16.2,19.8,4.4
01/04/2024,446.16,9.2,124.2,13.1,79.9,5.2
01/04/2023,442.7,8.3,153,12.6,64.1,4
01/04/2022,419.03,8.8,177.8,13.8,23.9,3.8
01/04/2021,390.97,6.1,220.3,11.6,13.5,0.6
01/04/2020,414,10.2,233.9,15.9,28.2,4.6
01/04/2019,418.29,8.7,168.5,13.9,35.9,3.5
01/04/2018,411.31,9.4,114.1,13.1,79.1,5.7
01/05/2025,461.7,13.7,161.3,18.1,81.6,9.3
01/05/2024,433.17,12.3,219.5,17.4,34.9,7.3
01/05/2023,464.07,12.8,160,17.3,50.4,8.3
01/05/2022,431.96,9.9,156.5,14.4,119,5.3
01/05/2021,385.87,12.3,293.5,18.3,6.7,6.3
01/05/2020,428.94,11,196,16.1,42.6,6
01/05/2019,425.41,13,249.8,18.7,55.1,7.4
01/05/2018,427.62,17,231.1,22.3,37.5,11.8
01/06/2025,469.21,16.7,240.9,22.4,48.5,11
01/06/2024,453.45,14.8,211.5,20.1,45.7,9.5
01/06/2023,481.52,15.4,185,20.2,36.7,10.6
01/06/2022,444.3,15,172,19.7,93.1,10.4
01/06/2021,433.62,14,145.2,18.4,124.1,9.6
01/06/2020,424.41,15.9,232.1,21.5,11.4,10.4
01/06/2019,406.05,18.1,202.8,23.2,52.2,13
01/06/2018,430.21,16.1,179.4,20.9,72.1,11.2
01/07/2025,460.5,18.1,198.5,23.5,23.7,12.6
01/07/2024,454.48,17.7,199.5,22.6,79.7,12.9
01/07/2023,445.24,15.6,152.3,19.9,66.5,11.3
01/07/2022,463.11,17.4,186.8,22.3,78.9,12.5
01/07/2021,441.69,19,268,25.4,30.7,12.6
01/07/2020,410.2,17.5,193.5,22.8,22.4,12.3
01/07/2019,429.35,16.6,172,21.3,34.4,11.9
01/07/2018,440.82,16.1,161.9,20.4,60,11.7
01/08/2025,455.21,17.5,193.5,22.8,22.4,12.3
01/08/2024,452.86,16.6,172,21.3,34.4,11.9
01/08/2023,430.76,16.1,161.9,20.4,60,11.7
01/08/2022,438.33,18.3,234.7,24.2,30.6,12.5
01/08/2021,364.83,15.8,118.8,19.7,42.9,11.8
01/08/2020,404.36,17.2,150.9,21.6,118.3,12.9
01/08/2019,419.75,17,199.8,21.7,80.2,12.3
01/08/2018,421.57,16.6,167,21.4,55.5,11.9
,,,,,,
,,,,,,
01/09/2024,434.51,16.5,150.2,21.1,74.7,11.9
01/09/2023,421.46,14.1,119.9,18.6,62.5,9.7
01/09/2022,382.56,15.7,141.7,20.3,59.5,11.2
01/09/2021,396.11,13.8,169.8,18.5,35.7,9
01/09/2020,391.03,14,166.4,18.5,115,9.4
01/09/2019,395.65,13.5,147.7,18,60.9,9
01/09/2018,389.97,13.3,114,17.3,84.6,9.2
,,,,,,
,,,,,,
01/10/2024,433.17,11.9,90.2,15.5,151.9,8.3
01/10/2023,418.35,12.4,132.1,16.2,108.5,8.7
01/10/2022,379.23,11.8,94.2,15,105,8.5
01/10/2021,381.3,10,64.1,13.2,127.7,6.9
01/10/2020,380.83,9.6,86.3,13,129,6.1
01/10/2019,392.97,10.2,124.2,14.3,54.2,6.2
01/10/2018,401.4,12,83,15.2,46.2,8.9
,,,,,,
,,,,,,
01/11/2024,438.13,7,77.2,10,87.2,4
01/11/2023,409.22,8.6,56.1,11.4,123.5,5.9
01/11/2022,364.75,7.1,62.2,10.3,34.5,3.8
01/11/2021,396.7,8,57.5,11.1,53.8,4.9
01/11/2020,378.1,5.9,45.3,8.4,125.1,3.3
01/11/2019,388.6,7.6,62.9,10.6,62.5,4.6
01/11/2018,385.98,6.5,82,9.8,55,3.1
,,,,,,
,,,,,,
01/12/2024,429.68,6.6,25.3,9.1,150.7,4.1
01/12/2023,434.84,3.2,59.2,6.3,71.5,0
01/12/2022,361.63,5.9,28.2,8.4,86.4,3.4
01/12/2021,380.62,4.5,47.6,7.1,126.6,1.9
01/12/2020,407.13,5.3,56.4,8.2,88.2,2.5
01/12/2019,410.99,6.4,44.3,9.1,92.7,3.7
01/12/2018,406.71,4.4,55.4,7.3,87.6,1.6
,,,,,,
01/01/2025,440.7,4.3,67.1,7.2,75.5,1.5
01/01/2024,443.87,4.8,77.8,7.9,76.7,1.7
01/01/2023,439.78,4.3,80.7,7.7,28.7,0.9
01/01/2022,372.58,2.7,39.4,5.4,124.5,0
01/01/2021,395.13,6.1,54.7,8.8,64.5,3.4
01/01/2020,415.15,3.6,51.5,6.4,32.2,0.9
01/01/2019,412.02,4.8,54.1,7.6,82.6,2
,,,,,,
,,,,,,
01/02/2025,462.44,7.4,52.3,10.5,120.3,4.2
01/02/2024,458.49,6.2,86.1,9.7,12.4,2.6
01/02/2023,428.45,6.5,80.5,9.9,111.4,3
01/02/2022,376.39,4.7,74.5,7.9,64.2,1.5
01/02/2021,406.45,6,79,9.3,162,2.7
01/02/2020,402.94,6.3,118.1,11,38.5,1.7
01/02/2019,415.66,2.5,96.6,5.5,37,-0.5
,,,,,,
,,,,,,
01/03/2025,478.87,7.6,90.9,11.1,96.5,4.1
01/03/2024,447.22,6.7,76.2,9.9,118.3,3.4
01/03/2023,412.24,7.4,164,11.9,41.2,2.8
01/03/2022,378,7,105.2,10.7,45,3.3
01/03/2021,406.56,6.3,150.6,10.4,44.4,2.1
01/03/2020,415.52,7.6,130.7,11.3,83.8,3.9
01/03/2019,408.87,4.5,75.5,7.8,105.1,1.1
